Name,Code,UOM,Stock
QF Cooked Vermicelli Spaghetti 熟米粉,32CVSG1ZQF00554,1.9kg/pkt,32
Cheese Pasta 奶油芝士意面,62CP0G1ZQF00245,2kg/pkt,7
Potato Salad 土豆沙拉,62PS0G1ZQF00277,2kg/pkt,15
QF BBQ Sauce 秘制烧烤酱,62BBQG1ZQF00234,2kg/pkt,18
QF Fire Noodle Sauce 火面酱,62FNSG1ZQF00261,2kg/pkt,39
QF Garlic Bread Spread 蒜蓉面包油酱,62GBSG1ZQF00262,0.5kg/pkt,4
QF Mango Sauce 芒果酱,62MS0G1ZQF00272,2kg/pkt,14
QF Sesame Sauce 日式芝麻酱,62SS0G1ZQF00292,3kg/pkt,9
QF Sour Cream 酸奶酱,62SC0G1ZQF00282,3kg/pkt,1
QF Sweet Plum Sauce 酸梅辣酱,62SPSG1ZQF00291,2kg/pkt,19
QF Thai Sweet & Sour Sauce 泰式甜酸酱,62TSSG1ZQF00303,2kg/pkt,11
QF Thai Yellow Ginger Sauce 黄姜酱,62TYGG1ZQF00304,2kg/pkt,1
Truffle Mayo 松露蛋黄酱,62TM0G1ZQF00300,1kg/pkt,2
QF Coleslaw 卷心菜沙拉,33C00G1ZQF00240,2.5kg/pkt,50
QF Coleslaw 卷心菜沙拉(新),33C00G1ZQF00241,2.5kg/pkt,17
QF Fried Chicken Marinade 炸鸡腌鸡,12FCMG1IQF02372,1kg/pkt,61
QF Fried Chicken Marinade 炸鸡腌鸡,12FCMG1IQF02372,2kg/pkt,360
QF Prawn Balls 鸡肉虾球,12PB0G1IQF00457,20pcs/pkt,108
QF Thai Handmade Fish Cake 手工泰式鱼饼,71THFG1IQF00201,20pcs/pkt,56
Corn Salad 玉米沙拉,62CS0G1ZQF00244,1kg/pkt,4
QF Brown Sauce 西餐棕酱,62BS0G1ZQF00237,3kg/pkt,26
QF Chinchalok Sauce 虾米辣椒酱,62CS0G1ZQF00247,1kg/pkt,13
QF Chinchalok Sauce 虾米辣椒酱,62CS0G1ZQF00247,0.2kg/pkt,120
QF Clam Chowder 奶油蛤蜊浓汤,62CC0G2ZQF02147,2kg/pkt,34
QF Salted Egg Sauce 咸蛋酱,62SESG1ZQF00290,2kg/pkt,8
QF Sambal Chilli Thai 泰式叁巴辣酱,62SCTG1ZQF00289,3kg/pkt,7
QF Spaghetti Sauce 意大利面酱,62SS0G1ZQF00294,3kg/pkt,129
SBC Marinated Sauce 腌制酱料,62SMSG1PQF02211,0.56kg/pkt,10
QF Mushroom Soup 蘑菇汤,63MS0G1PQF00058,1kg/pkt,11
SBC Curry Vegetable Gravy 咖喱蔬菜汁,33SCVG1PQF01862,2kg/pkt,25
SBC Curry Vegetable 咖喱蔬菜,33SCVG1PQF01823,2.3kg/pkt,5
Cashew Nut 腰果,41CN0T2ZQF00860,1kg/pkt,8
Biscuit Crumb 饼干粉,46BC0T2ZQF00904,1kg/pkt,57
Potato Starch 马铃薯粉,46PS0R1ZVT00975,2kg/pkt,40
Pure Salt 盐,46PS0R1ZVT00976,1kg/pkt,9
QF French Fries Salt 薯条盐,46FFSG1ZQF00931,1kg/pkt,38
QF Fried Chicken Powder 炸鸡粉,46FCPG1ZQF00929,3kg/pkt,18
QF Fried Chicken Powder 炸鸡粉(新),46FCPG1ZQF00930,3kg/pkt,8
QF Mashed Potatoes Powder 西餐土豆泥粉,46MMPG1ZQF00962,0.365kg/pkt,27
QF Pineapple Salt 黄梨盐,46PS0G1ZQF00974,1kg/pkt,26
QF Red Salt 红盐,46RS0G1ZQF00997,1kg/pkt,23
QF White Salt 白盐,46WS0G1ZQF00982,3kg/pkt,15
Special Chicken Marinade Powder 特制腌鸡粉,46SCMG1ZQF02878,1.5kg/pkt,19
Special Fried Chicken Flour 特制炸鸡粉,46SFCG1ZQF02877,3kg/pkt,32
Golden Kirin Thai Hom Mali Rice 泰国茉莉香米,31GKTT1ZVT01641,2kg/pkt,0
Green Lion White Glutinuos Rice 绿狮白糯米,31GLWT1ZVT00548,1kg/pkt,56
QF Phat Thai Sauce 泰炒面酱,62PTSG1ZQF00278,2kg/pkt,1
Coconut Candy 椰糖,40CC0T1ZVT00731,1kg/pkt,11
